% Data from J. Handl
% http://personalpages.manchester.ac.uk/mbs/Julia.Handl/generators.html
%
@RELATION 2d-4c-no4

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2,3}

@DATA
8.04731,-4.88662,0
11.2375,3.01746,0
5.1105,0.269883,0
6.34456,-3.71832,0
9.09493,2.02836,0
8.01686,-2.26484,0
9.95815,6.67136,0
10.073,-5.96494,0
8.80164,0.217603,0
9.27446,-2.85584,0
9.62282,1.48769,0
7.20748,-3.67993,0
9.69823,5.00318,0
6.85735,0.0607903,0
11.291,-1.66965,0
6.44954,2.40385,0
9.73731,-1.24028,0
7.60214,-2.23978,0
8.62179,-4.88772,0
6.26833,-0.508081,0
7.1283,-1.64686,0
9.26061,-3.68983,0
9.33413,-8.03635,0
5.77097,4.97839,0
6.83457,-3.28685,0
9.81484,-2.21538,0
5.66555,1.82633,0
7.73968,-1.98427,0
6.49574,3.20202,0
6.99226,-0.262286,0
10.3891,2.13512,0
7.5888,0.596278,0
9.7318,-1.58389,0
5.1857,3.76842,0
10.6456,-1.70854,0
8.27424,0.421787,0
7.55688,-0.228735,0
10.0207,-3.94477,0
9.33372,-4.59182,0
6.929,-6.73162,0
7.94977,-1.9159,0
6.82108,0.631436,0
6.97004,0.426509,0
9.68758,2.02541,0
8.92996,-4.7527,0
8.75096,1.85807,0
8.42768,1.13994,0
10.6104,-1.65432,0
7.8959,-4.43924,0
10.0438,-3.6277,0
8.48703,2.11388,0
9.50888,-3.43224,0
6.62106,-0.540453,0
7.5937,-6.37405,0
7.1264,-3.25949,0
9.63069,-0.425673,0
9.04671,0.508026,0
5.89178,2.33332,0
8.86143,-2.03025,0
7.08893,0.163472,0
9.16722,-2.29979,0
8.17944,-7.25172,0
7.26099,-0.36384,0
7.81919,1.35419,0
9.15234,0.602795,0
10.5076,3.06349,0
8.89775,-1.9771,0
8.30446,-0.265564,0
7.17401,-3.74304,0
8.4733,-2.40133,0
7.55933,0.598107,0
7.6429,-1.5797,0
8.57786,2.16751,0
8.68834,-0.137646,0
9.21669,-1.65753,0
9.18142,-6.48471,0
10.7658,-3.27219,0
9.33799,-3.68041,0
9.25388,-0.598261,0
10.9614,-1.19213,0
8.55505,4.4396,0
6.88499,-0.0731292,0
8.69296,-2.86581,0
9.13622,-4.59154,0
11.6736,1.20853,0
7.16634,-4.19144,0
9.59252,-3.70169,0
5.42594,-1.1426,0
8.74912,-0.407762,0
9.77424,-3.04437,0
9.51543,-3.59,0
9.84494,-4.43637,0
7.21211,-0.498822,0
6.18591,-3.94526,0
7.32963,-0.126335,0
4.36163,-3.83679,0
10.7567,-1.65997,0
7.30844,1.71591,0
10.2807,3.34111,0
6.00952,0.779082,0
7.32343,-1.72677,0
8.1349,-1.14398,0
9.61597,-6.38591,0
7.56849,-0.736458,0
10.7547,-6.38763,0
7.64653,0.987365,0
8.19976,0.834494,0
8.8348,5.12859,0
7.74409,1.60212,0
6.83198,-1.2761,0
5.56684,-4.95138,0
7.34476,-0.590774,0
6.44313,2.382,0
-1.6279,-9.4991,1
-3.33126,-9.32081,1
0.715481,-7.29466,1
-1.52932,-9.23123,1
-2.33708,-10.2321,1
-1.95991,-9.15309,1
-0.717807,-8.75016,1
0.0535042,-8.29094,1
-4.17171,-7.38458,1
-1.22018,-8.12729,1
2.2498,-8.82532,1
-1.08581,-8.74108,1
-7.15286,-8.12764,1
-5.40413,-6.81369,1
-1.41021,-10.3718,1
2.02119,-7.09042,1
-3.06599,-8.75796,1
2.16948,-9.63352,1
-2.78689,-7.78198,1
-0.460238,-9.35851,1
-3.30938,-8.18816,1
-2.7779,-7.91361,1
-2.61896,-7.63429,1
0.205044,-9.05698,1
0.973766,-9.34011,1
-4.8673,-8.44841,1
-1.6058,-8.21875,1
-1.17164,-8.478,1
-4.86123,-8.91695,1
-0.324991,-9.10579,1
-0.933404,-8.76774,1
-1.17335,-7.12968,1
0.0524916,-8.31587,1
2.21089,-7.70329,1
-1.74665,-8.12746,1
-1.88384,-7.98511,1
-2.24171,-8.63253,1
-7.35457,-8.31818,1
-2.36389,-9.16131,1
-1.93266,-8.63241,1
2.78244,-8.36253,1
-1.40433,-9.29051,1
